,DESTINATION,KEYWORDS,ORIGIN
30119,LAX,class,EWR
30120,LAX,passengers,EWR
30121,LAX,nothing,EWR
30122,LAX,special,EWR
30123,LAX,lot,EWR
30124,LAX,people,EWR
30125,LAX,business,EWR
30126,LAX,class,EWR
30127,LAX,line,EWR
30128,LAX,ahead,EWR
30129,LAX,nothing,EWR
30130,LAX,special,EWR
30131,DEL,flight,EWR
30132,DEL,staff,EWR
30133,DEL,long,EWR
30134,DEL,rude,EWR
30135,DEL,sure,EWR
30136,DEL,duration,EWR
30137,DEL,flight,EWR
30138,DEL,destinationnationality,EWR
30139,DEL,travelers,EWR
30140,DEL,destination,EWR
30141,DEL,causing,EWR
30142,DEL,rude,EWR
30143,DEL,behavior,EWR
30144,PIA,flight,ORD
30145,PIA,delayed,ORD
30146,PIA,gate,ORD
30147,PIA,peoria,ORD
30148,PIA,opened,ORD
30149,PIA,arrived,ORD
30150,PIA,needed,ORD
30151,PIA,till,ORD
30152,PIA,gate,ORD
30153,PIA,open,ORD
30154,PIA,lost,ORD
30155,PIA,reserved,ORD
30156,PIA,shuttle,ORD
30157,PIA,2300,ORD
30158,GRU,flight,ORD
30159,GRU,delay,ORD
30160,GRU,ord,ORD
30161,GRU,gru,ORD
30162,GRU,really,ORD
30163,GRU,disappointing,ORD
30164,GRU,confusion,ORD
30165,GRU,know,ORD
30166,GRU,whether,ORD
30167,GRU,stay,ORD
30168,GRU,cabin,ORD
30169,GRU,new,ORD
30170,GRU,pilot,ORD
30171,GRU,assigned,ORD
30172,GRU,coordination,ORD
30173,GRU,company,ORD
30174,GRU,prevent,ORD
30175,GRU,sort,ORD
30176,GRU,situation,ORD
30177,ATL,operational,ORD
30178,ATL,difficulties,ORD
30179,ATL,excuse,ORD
30180,ATL,15,ORD
30181,ATL,delay,ORD
30182,ATL,15,ORD
30183,ATL,delay,ORD
30184,ATL,unacceptable,ORD
30185,ATL,terrible,ORD
30186,ATL,customer,ORD
30187,ATL,service,ORD
30188,ATL,audacity,ORD
30189,ATL,offer,ORD
30190,ATL,150,ORD
30191,ATL,travel,ORD
30192,ATL,voucher,ORD
30193,ATL,ever,ORD
30194,ATL,use,ORD
30195,ATL,wasted,ORD
30196,ATL,16,ORD
30197,ATL,hours,ORD
30198,ATL,time,ORD
30199,ATL,incompetance,ORD
30200,ATL,lack,ORD
30201,ATL,customer,ORD
30202,ATL,focus,ORD
